0,0.02,1.062
1,0.04,1.12307
2,0.06,1.18324
3,0.08,1.24254
4,0.1,1.30102
5,0.12,1.35869
6,0.14,1.4156
7,0.16,1.47177
8,0.18,1.52723
9,0.2,1.58201
10,0.22,1.63614
11,0.24,1.68965
12,0.26,1.74255
13,0.28,1.79489
14,0.3,1.84668
15,0.32,1.89795
16,0.34,1.94872
17,0.36,1.99902
18,0.38,2.04888
19,0.4,2.09831
20,0.42,2.14733
21,0.44,2.19598
22,0.46,2.24426
23,0.48,2.29221
24,0.5,2.33985
25,0.52,2.38719
26,0.54,2.43426
27,0.56,2.48107
28,0.58,2.52766
29,0.6,2.57403
30,0.62,2.62021
31,0.64,2.66622
32,0.66,2.71207
33,0.68,2.75779
34,0.7,2.8034
35,0.72,2.84892
36,0.74,2.89435
37,0.76,2.93973
38,0.78,2.98508
39,0.8,3.0304
40,0.82,3.07573
41,0.84,3.12108
42,0.86,3.16646
43,0.88,3.2119
44,0.9,3.25742
45,0.92,3.30304
46,0.94,3.34877
47,0.96,3.39464
48,0.98,3.44066
49,1,3.48685
50,1.02,3.53324
51,1.04,3.57985
52,1.06,3.62668
53,1.08,3.67378
54,1.1,3.72115
55,1.12,3.76881
56,1.14,3.8168
57,1.16,3.86512
58,1.18,3.91381
59,1.2,3.96288
60,1.22,4.01236
61,1.24,4.06227
62,1.26,4.11264
63,1.28,4.16349
64,1.3,4.21484
65,1.32,4.26672
66,1.34,4.31916
67,1.36,4.37218
68,1.38,4.42581
69,1.4,4.48008
70,1.42,4.53502
71,1.44,4.59066
72,1.46,4.64702
73,1.48,4.70414
74,1.5,4.76206
75,1.52,4.8208
76,1.54,4.8804
77,1.56,4.9409
78,1.58,5.00234
79,1.6,5.06474
80,1.62,5.12816
81,1.64,5.19263
82,1.66,5.2582
83,1.68,5.3249
84,1.7,5.39279
85,1.72,5.46192
86,1.74,5.53233
87,1.76,5.60407
88,1.78,5.67721
89,1.8,5.75178
90,1.82,5.82787
91,1.84,5.90552
92,1.86,5.9848
93,1.88,6.06577
94,1.9,6.14852
95,1.92,6.2331
96,1.94,6.3196
97,1.96,6.4081
98,1.98,6.49867
99,2,6.59142
